supermarket,product_code,category,name,price,lastUpdate,subcategory
Alcampo,518731,29,CENTRAL LECHERA ASTURIANA Nata líquida (38 % de materia grasa y 100% natural) para montar CENTRAL LECHERA ASTURIANA 200 ml.,"1,30",1742774063.439839,estandar
Alcampo,518721,29,CENTRAL LECHERA ASTURIANA Nata líquida (38 % de materia grasa) para montar CENTRAL LECHERA ASTURIANA 1 l.,"4,51",1742774063.440005,estandar
Alcampo,52393,29,"KAIKU Nata líquida (36% de materia grasa) para montar, sin lactosa KAIKU 200 ml.","1,84",1742774063.440154,Sin lactosa
Alcampo,53676,29,PASCUAL Nata líquida (35% materia grasa) para montar y cocinar PASCUAL 1 l.,"4,89",1742774063.440298,estandar
Alcampo,546114,29,PASCUAL Nata líquida para montar y cocinar (35% materia grasa) PASCUAL 500 ml.,"2,78",1742774063.440424,estandar
Alcampo,52780,29,KAIKU Nata líquida (35 % de materia grasa) para montar KAIKU Km. 0 200 ml.,"1,25",1742774063.440545,estandar
Alcampo,50539,29,FEIRACO Nata líquida para montar FEIRACO 200 ml.,"0,78",1742774063.440668,estandar
Alcampo,52121,29,CAÑADA REAL Nata pasteurizada batida y azucarada CAÑADA REAL 220 g.,"2,01",1742774063.44079,estandar
Alcampo,50563,29,FEIRACO Nata líquida para montar FEIRACO 1 l.,"2,95",1742774063.440914,estandar
Alcampo,52836,29,"PRÉSIDENT Nata líquida en prácticas monodosis, especial para te y café PRESIDENT 10 x 9.8 ml.","1,00",1742774063.921897,estandar
Alcampo,632732,29,AUCHAN Bechamel 500 ml Producto Alcampo,"2,34",1742774063.922428,estandar
Alcampo,865521,29,"PRÉSIDENT Salsa bechamel, elaborada sin gluten y lista para cocinar PRESIDENT 500 ml.","3,56",1742774063.922956,Celiaco
Alcampo,796706,29,"RENY PICOT Salsa bechamel, lista para sevir RENY PICOT 200 ml.","0,99",1742774063.923113,estandar
Alcampo,52863,29,CENTRAL LECHERA ASTURIANA Nata montada en spray CENTRAL LECHERA ASTURIANA 250 g.,"2,52",1742774064.664329,estandar
Alcampo,95366,29,"PASCUAL Nata montada azucarada en spray , con dosificador especial para reposteria PASCUAL 250 g.","2,72",1742774064.664736,estandar
Alcampo,916115,29,CENTRAL LECHERA ASTURIANA Nata montada azucara y sin lactosa en spray (27% de materia grasa) CENTRAL LECHERA ASTURIANA 250 g.,"2,37",1742774064.665019,Sin lactosa
Alcampo,50471,29,CENTRAL LECHERA ASTURIANA Nata montada ligera en spray CENTRAL LECHERA ASTURIANA 250 g.,"2,52",1742774064.665202,estandar
Alcampo,96318,29,PRÉSIDENT Nata montada en spray PRESIDENT 250 g.,"3,47",1742774064.66536,estandar
Alcampo,718143,29,TGT La creme Spray de nata montada azucarada 250 g.,"1,68",1742774064.665497,estandar
Alcampo,52631,29,ATO Nata montada en spray ATO 250 gr.,"2,71",1742774064.665649,estandar
Alcampo,96680,29,"PULEVA Nata montada ligera en spray (20% materia grasa), especial reposteria PULEVA 250 g.","2,65",1742774064.665804,estandar
Alcampo,52965,29,RENY PICOT Nata montada azucarada en spray RENY PICOT 250 gr.,"2,25",1742774064.665962,estandar
Alcampo,949372,29,KAIKU Nata montada spray KAIKU 500 gr.,"4,50",1742774064.666115,estandar
Alcampo,54528,29,"PRÉSIDENT Nata líquida para cocinar, de textura espesa PRESIDENT Espessa 500 ml.","3,79",1742774065.208476,estandar
Alcampo,51491,29,AUCHAN Nata líquida ligera para cocinar 200 ml. Producto Alcampo,"0,58",1742774065.20887,estandar
Alcampo,52559,29,AUCHAN Nata líquida (18% materia grasa) para cocinar 500 ml. Producto Alcampo,"1,45",1742774065.209222,estandar
Alcampo,52554,29,CENTRAL LECHERA ASTURIANA Nata líquida para cocinar sin aditivos artificiales CENTRAL LECHERA ASTURIANA 200 ml.,"1,30",1742774065.209395,estandar
Alcampo,52553,29,CENTRAL LECHERA ASTURIANA Nata líquida (18% materia grasa) para cocinar CENTRAL LECHERA ASTURIANA 500 ml.,"2,52",1742774065.209554,estandar
Alcampo,95358,29,"CENTRAL LECHERA ASTURIANA Nata líquida para cocinar, sin lactosa 200 ml.","1,35",1742774065.209723,Sin lactosa
Alcampo,53172,29,PRÉSIDENT Nata líquida para cocinar textura espesa PRESIDENT Epesa 250 ml.,"1,99",1742774065.209875,estandar
Alcampo,51841,29,PRÉSIDENT Tarrina de nata fresca extracremosa para cocinar PRESIDENT 200 ml.,"2,56",1742774065.210026,estandar
Alcampo,52308,29,SOJASUN Preparado de soja (17% de materia grasa) para cocinar SOJASUN 200 ml.,"1,45",1742774065.210179,estandar
Alcampo,54116,29,PRÉSIDENT Nata líquida para cocinar textura ligera PRESIDENT Ligera 250 ml.,"1,99",1742774065.210329,estandar
Alcampo,89747,29,PASTORET Crema fresca de nata para cocinar EL PASTORET Creme Fraíche 500 g.,"4,59",1742774065.210476,estandar
Alcampo,90114,29,CENTRAL LECHERA ASTURIANA Nata líquida especial para repostería CENTRAL LECHERA ASTURIANA 500 ml.,"2,81",1742774065.210617,estandar
Alcampo,52391,29,KAIKU Nata líquida (15% matria grasa) para cocinar sin lactosa KAIKU Sin lactosa 200 ml.,"1,89",1742774065.210743,Sin lactosa
Alcampo,52937,29,"ROTTALER Nata agria (24 % de materia grasa), ideal para cocinar ROTTALER 200 g.","2,04",1742774065.210867,estandar
Alcampo,54537,29,PASCUAL Nata líquida (18 % de materia grasa) para cocinar PASCUAL 200 ml.,"1,51",1742774065.211005,estandar
Alcampo,95210,29,RENY PICOT Nata líquida (12% materia grasa) para cocinar RENY PICOT Ligera 1 l.,"3,15",1742774065.211151,estandar
Alcampo,52251,29,PULEVA Nata líquida (18% materia grasa) especial cocina PULEVA 1 l.,"4,15",1742774065.211277,estandar
Alcampo,51514,29,KAIKU Nata líquida para cocinar KAIKU Km. 0 200 ml.,"1,00",1742774065.211404,estandar
Alcampo,679561,29,PASCUAL Nata líquida para cocinar (18% materia grasa) PASCUAL 500 ml.,"2,78",1742774065.211531,estandar
Alcampo,541005,29,KAIKU Km.0 Nata (15% materia grasa) especial para pasta 200 ml.,"1,00",1742774065.211664,estandar
Alcampo,53069,29,KAIKU Nata líquida (12% materia grasa) especial para pasta KAIKU Km. 0 200 ml.,"1,60",1742774065.2118,estandar
Alcampo,634940,29,"MERCADER Horchata de chufa sin lactosa, ni proteína lactea y sin azúcares añadidos 1 l.","1,45",1742774065.872275,Sin lactosa
Alcampo,52973,29,CHUFI Horchata de chufa con denominación de origen Chufa de Valencia CHUFI Original 1 l.,"1,72",1742774065.872647,estandar
Alcampo,50930,29,"CHUFI Horchata sin azúcares añadidos, elaborada con chufa 100% de Valencia CHUFI 1l.","1,80",1742774065.872825,estandar
Alcampo,52070,29,AUCHAN Horchata de chufa con denominación de origen Chufa de Valencia botella de 1 l Producto Alcampo,"1,82",1742774065.872989,estandar
Alcampo,51401,29,RAM Leche merengada (sabor a canela y limón) RAM 1 l.,"1,82",1742774065.873134,estandar
Alcampo,50938,29,CHUFI Horchata de textura espesa y sabor más intenso CHUFI Maestro horchatero 1 l.,"1,97",1742774065.873272,estandar
Alcampo,563702,29,"OR,XATA Hortacha elaborada con chufa de Valencia OR,XATA Selección 1 l.","1,69",1742774065.873407,estandar
Alcampo,91113,29,CHUFI Horchata con denominación de origen Chufa de Valencia CHUFI 3 x 250 ml.,"2,25",1742774065.873541,estandar
Alcampo,563575,29,"OR,XATA Horchata receta artesanal con denominación de origen Chufa de Valencia OR,XATA 1 l.","1,39",1742774065.873682,estandar
Alcampo,634921,29,"MERCADER Horchata de chufa, elaborada según la receta tradicional valenciana MERCADER 1 l.","1,53",1742774065.873835,estandar
Alcampo,91536,29,"OR,XATA Horchata tradicional elabotada en Alboraya OR,XATA 1 l.","1,69",1742774065.873997,estandar
Alcampo,238603,29,"OR,XATA Horchata ligth sin lactosa, con denominación de origen Chufa de Valencia OR,XATA 1 l.","1,59",1742774065.874147,Sin lactosa
Alcampo,881515,29,COSTA ECO Horchata de Chufa ecológica COSTA 1 l.,"2,71",1742774065.874298,estandar
Alcampo,631476,29,CHUFI Horchata fresca con D.O Valencia 750 ml.,"2,39",1742774065.874445,estandar
Alcampo,951658,29,PRODUCTO ECONÓMICO ALCAMPO Horchata chufa PRODUCTO ECONÓMICO ALCAMPO 1 Litro,"1,34",1742774065.87457,estandar
Alcampo,221170,29,AUCHAN Leche merengada con canela y limón 1 l. Producto Alcampo,"1,59",1742774065.874709,estandar
Alcampo,457454,29,CHUFI Horchata de chufa con denominación de origen Chufa de Valencia CHUFI Mediterráneo 1 L.,"1,76",1742774065.874836,estandar
Alcampo,226632,29,"CHUFI Bebida de chufa con denominación de origen Valencia, con sabor a coco CHUFI 1 l.","1,95",1742774065.875015,estandar
Alcampo,767285,29,ALCAMPO CULTIVAMOS LO BUENO Horchata fresca de chufa con D.O. Chufa de Valencia 750 ml.,"1,75",1742774065.875196,estandar
Alcampo,544483,29,"CHUFI Horchata fresca, elaborada con chufa 100% de Valencia CHUFI 230 ml.","1,00",1742774065.875338,estandar
Alcampo,221167,29,CHUFI Horchata de valencia con café 1 l.,"1,68",1742774065.875465,estandar
Alcampo,51612,29,DON SIMON Horchata DON SIMÓN 1 l,"1,85",1742774065.875591,estandar
Alcampo,66142,29,"PULEVA Batido con sabor a chocolate, elaborado con un 90% de leche PULEVA 6 x 200 ml.","2,39",1742774066.562821,estandar
Alcampo,799996,29,"PULEVA Batido con sabor a chocolate, sin lactosa y elaborado con un 90% de leche PULEVA 6 x 200 ml.","2,39",1742774066.56315,Sin lactosa
Alcampo,479440,29,PULEVA Batido de chocolate sin colorantes ni conservantes ni azúcares añadidos PULEVA Zero 6 x 200 ml.,"2,39",1742774066.563432,estandar
Alcampo,53395,29,"PULEVA Batido con sabor a vainilla, elaborado con un 90% de leche PULEVA 6 x 200 ml.","2,39",1742774066.563576,estandar
Alcampo,53396,29,"PULEVA Batido con sabor a fresa, elaborado con un 90% de leche PULEVA 6 x 200 ml.","2,39",1742774066.563711,estandar
Alcampo,91783,29,ARLA Batido chocolate bajo en azúcar y con alto contenido en proteínas 470 ml.,"2,41",1742774066.563847,estandar
Alcampo,514913,29,NESQUIK de NESTLÉ Shake Bebida láctea de cacao cremoso con un 86% de leche desnatada 180 ml.,"1,42",1742774066.563983,estandar
Alcampo,807232,29,ARLA Batido de vainilla bajo en azúcar y con alto contenido en proteínas 470 ml.,"2,41",1742774066.56412,estandar
Alcampo,90013,29,AUCHAN Batido con sabor chocolate 6 x 200 ml. Producto Alcampo,"1,49",1742774066.564267,estandar
Alcampo,50250,29,CACAOLAT Original Batido de cacao elaborado según la receta original 1 l.,"2,29",1742774066.564397,estandar
Alcampo,52283,29,AUCHAN Batido con sabor a chocolate 1 l. Producto Alcampo,"1,24",1742774066.564538,estandar
Alcampo,246304,29,"AUCHAN Protein + Bebida lactea al cacao, sin grasa ni azúcares añadidos y con alto contenido en proteína 330 ml.","1,29",1742774066.564682,estandar
Alcampo,246312,29,"AUCHAN Protein + Bebida lactea de vainilla, sin grasa ni azúcares añadidos y con alto contenido en proteína 330 ml. Producto Alcampo","1,29",1742774066.564811,estandar
Alcampo,906085,29,CENTRAL LECHERA ASTURIANA Batido de chocolate sin aditivos artificiales ni edulcorantes ni azúcares añadidos CENTRAL LECHERA ASTURIANA 3 x 200 ml.,"1,59",1742774066.564944,estandar
